Zipcode  Duration (s)  Distance
Time: 10-20-2014 21:00:00
08833  2673  60.946
24401  21205  588.304
07066  919  10.457
19446  6447  143.582
08853  2984  64.57
08873  2778  49.872
18951  5506  126.312
18944  6340  120.779
08502  3574  68.57
08831  3050  57.759
10306  3219  29.569
18013  4838  108.768
18902  5591  109.07
07090  712  6.298
08551  4051  81.945
07014  1685  29.627
08844  4494  67.154
07065  1215  12.244
07830  3067  63.405
08827  3275  75.776
07920  2107  39.119
02760  14632  346.344
07730  2243  40.844
07746  2510  48.282
08840  1484  19.882
19438  6835  159.832
07022  2524  36.935
07080  2137  22.758
07092  889  8.51
07005  2420  44.524
07662  1942  37.045
08812  1864  21.725
07747  2139  36.518
07853  3777  72.423
08801  2834  65.964
07832  5101  103.61
18210  7054  162.604
07023  1260  10.293
07677  2734  52.303
48108  36095  975.548
07016  537  3.394
07825  4065  93.477
08837  1685  24.03
08060  4489  100.689
18040  4930  101.89
07928  1456  22.604
19382  7503  180.985
07083  690  5.827
08724  3812  82.664
07010  2605  39.605
08854  2111  38.108
19020  4790  110.065
07054  2045  37.74
07930  3112  51.849
18036  5132  127.629
07202  1349  9.062
07059  1757  34.583
07974  1400  23.863
18034  4944  124.101
07027  915  5.683
08826  3806  76.062
07821  3563  75.336
07042  1396  19.845
07823  4470  99.601
10977  3134  62.004
19422  5973  136.574
07960  1936  34.751
07860  4654  89.294
07036  986  10.645
08802  3497  79.752
19075  5639  132.216
18020  4449  110.08
07306  1602  24.825
19355  6679  161.697
07826  5709  108.795
11374  3600  50.38
78852  109607  3160.716
19426  6918  152.008
08882  2342  39.346
10310  2564  20.395
19462  5797  137.678
07670  3067  48.782
07931  2492  52.313
07882  4150  85.028
07945  2690  43.79
07076  1097  9.053
98346  163034  4551.347
08512  3001  57.028
88546  120363  3486.916
07701  2922  55.633
07676  2368  48.281
08850  2255  39.694
07067  1420  18.932
07922  1342  23.74
07940  1668  23.625
08846  2327  25.971
18042  4229  99.644
18925  5589  107.189
08559  4233  85.295
18960  6209  144.994
18901  5876  109.974
18052  5475  131.029
18920  4451  92.758
08867  3360  76.085
07078  1315  18.099
07803  2910  49.816
08755  4356  96.099
07002  1490  24.28
18929  5713  111.724
10022  3031  40.405
17111  9953  255.615
08857  2407  39.102
07456  3414  70.037
38117  59996  1730.675
19403  6510  146.512
10001  2361  36.805
07840  3728  79.907
08809  3334  73.114
07063  1805  20.558
18343  4348  102.462
07753  3177  67.758
07924  2646  48.6
07463  2566  49.211
10993  4052  80.342
18103  4975  126.109
12060  10149  267.659
02043  16706  405.631
07438  3560  69.561
19116  5144  114.167
19002  5482  134.123
08501  3668  78.626
18054  6690  152.336
07436  2756  63.055
18938  4568  95.478
08050  5415  128.674
88013  119632  3394.146
08848  3845  87.93
08540  3657  60.749
18914  6069  116.882
07401  2761  52.866
07033  0  0
19130  6135  135.621
33067  69551  1981.64
08804  3765  84.058
07950  2382  38.698
08887  3073  65.37
07760  3476  58.571
07045  2192  44.938
08510  3814  73.684
08805  2319  27.297
07006  2086  33.36
07081  720  6.228
18017  4605  117.547
07095  1337  22.382
07110  1606  23.468
08550  3487  71.468
19468  7369  171.321
08721  4273  102.101
07720  3585  70.338
07302  1725  28.671
07675  2894  53.13
07728  3460  56.391
07082  2328  47.142
08536  3309  58.796
18074  7134  158.882
18106  5717  138.987
08085  6409  156.201
07863  4390  90.36
08836  2216  42.825
07432  2819  41.882
03825  19832  465.548
08108  5598  125.15
18039  4687  99.487
88221  111743  3167.038
08884  2586  40.795
07068  1590  27.803
19454  5832  139.384
07834  2253  43.735
27809  26259  704.153
08823  3017  50.861
18064  4885  117.706
18928  4824  99.762
19067  4264  93.307
07921  2560  53.089
19128  6582  140.423
07726  2966  51.717
10011  2523  33.354
08560  4753  85.326
07208  947  8.747
07470  2324  37.897
08535  3321  68.169
88231  107785  3112.649
19473  7344  167.354
10954  2972  61.429
07876  3013  52.887
08075  5091  107.575
34232  67510  1876.298
08835  2739  33.888
08829  3021  67.117
07430  3225  62.386
07869  2616  46.6
07450  2607  46.339
08558  3718  62.176
30331  52754  1391.066
18051  5855  143.018
07105  1248  17.858
07666  2399  42.044
08534  4526  81.381
10950  4532  102.587
07946  1899  34.067
18055  4893  115.221
07044  1725  25.153
08753  4653  99.502
07070  1907  32.626
88201  108492  3067.255
07028  1310  19.028
18974  5740  123.129
07718  2789  49.184
07738  2664  51.307
66062  69938  1937.414
08859  1765  30.131
08810  2839  50.669
19464  7581  166.984
19465  7751  187.213
08858  2404  54.82
07828  3459  69.153
19106  5914  132.499
08742  4123  83.048
08542  3752  63.558
19135  5586  120.815
10016  2592  38.181
08016  4277  96.406
07731  3708  79.676
07751  2525  44.787
18062  6025  144.073
19444  6039  140.691
03253  21060  527.311
19428  6003  143.473
07422  4591  89.266
07871  3411  70.042
18031  5848  142.616
07001  1607  15.321
07836  2958  66.442
07040  1204  14.07
18964  6857  151.026
90293  155977  4480.602
07052  1312  21.248
13905  11301  284.713
08861  1528  23.222
18334  6246  145.88
18322  5840  135.575
07927  1905  31.513
78342  104112  2999.553
12010  11525  304.316
07060  1571  17.621
18337  5859  114.286
18301  5154  115.883
18977  4667  101.367
07003  1183  20.091
18072  5529  118.641
08816  2312  40.125
08901  2029  37.048
18104  5435  132.818
08817  1850  31.73
02482  14883  355.581
08824  2905  50.762
08648  3950  69.908
08619  3885  72.072
07934  2657  54.793
19118  6027  136.01
07206  1724  11.667
08869  2330  52.023
07086  1854  33.11
10075  3277  41.894
15102  23291  581.281
95051  162647  4724.979
07204  622  4.102
19038  5714  133.017
08730  3815  78.881
08003  5297  121.461
19401  6325  142.583
18932  6566  140.715
27587  27846  739.287
19440  6696  150.76
46032  42601  1141.132
94301  162295  4717.847
14770  20591  545.235
07062  1491  12.085
08062  6345  155.099
08527  4480  98.774
19031  5652  131.652
18360  5300  124.925
15044  22342  587.312
01070  14865  329.191
19136  5474  116.792
15003  24123  608.417
08034  5022  118.021
08520  3186  64.147
08638  4443  78.126
07069  1478  17.079
15084  22244  583.449
11510  5377  78.13
08852  2823  51.457
08054  4317  106.877
08035  5450  125.962
27807  27948  747.332
08863  1459  22.019
18940  5474  114.061
18969  6695  152.152
19025  5085  123.629
07039  1774  27.054
07417  2641  51.655
18067  5642  130.645
07878  2239  44.164
19504  6554  147.434
19085  5985  146.063
33331  70489  2017.395
98801  152888  4339.094
07932  1841  25.502
08691  3704  73.252
08872  1876  31.135
79780  109938  3208.153
18038  6391  139.723
10024  2623  40.484
