Zipcode  Duration (s)  Distance
Time: 10-28-2014 22:30:00
07823  5187  110.241
10977  8552  177.276
19422  679  8.249
07960  6058  111.178
07860  7996  154.653
07036  6000  139.803
08802  4595  95.579
19075  1529  19.18
18020  3473  76.583
07306  6667  156.45
19355  2468  33.482
07826  9293  192.677
11374  8122  179.939
78852  106514  3079.404
19426  1345  17.644
08882  5434  115.54
10310  6596  146.227
19462  1280  14.87
07670  7800  176.558
07931  5618  95.77
07882  5023  105.39
07945  6577  112.712
07076  6758  107.019
98346  161860  4502.252
08512  4678  85.747
88546  117980  3405.604
07701  6593  144.49
07676  8154  164.893
08850  5625  99.283
07067  5895  131.176
07922  6234  114.855
07940  6565  117.216
08846  5696  91.743
18042  4180  79.213
18925  2284  29.501
08559  3128  44.761
18960  1689  23.477
18901  1765  21.367
18052  2982  63.963
18920  3172  47.724
08867  4154  60.635
07078  6915  129.587
07803  7136  120.232
08755  5769  119.173
07002  6565  152.19
18929  2136  29.137
10022  8122  168.165
17111  6819  174.041
08857  5771  122.761
07456  7863  154.812
38117  57525  1649.363
19403  996  13.249
10001  7214  164.565
07840  6595  127.822
08809  5024  106.615
07063  6210  98.048
18343  5560  115.384
07753  5823  128.951
07924  5890  101.899
07463  8204  159.731
10993  9507  195.614
18103  2786  62.535
12060  14888  361.756
02043  21261  533.407
07438  8042  154.336
19116  2729  43.56
19002  1095  12.927
08501  4078  81.276
18054  1601  22.721
07436  7282  147.83
18938  2343  34.181
08050  7004  140.993
88013  116875  3311.349
08848  3728  58.189
08540  4285  80.253
18914  1245  16.107
07401  8060  160.028
07033  6175  141.58
19130  2577  51.656
33067  68266  1893.098
08804  4652  91.674
07950  6859  123.473
08887  4173  66.182
07760  7187  151.201
07045  6757  129.713
08510  4440  94.484
08805  5444  88.922
07006  7138  132.9
07081  6999  111.078
18017  3163  70.797
07095  5502  125.262
07110  7275  165.602
08550  4111  74.649
19468  2437  30.839
08721  6415  151.686
07720  5802  128.506
07302  6865  156.581
07675  8697  169.742
07728  5026  105.001
07082  6855  131.917
08536  4360  80.206
18074  1977  27.148
18106  2658  55.884
08085  3598  74.158
07863  5754  116.08
08836  5701  92.773
07432  7939  159.048
03825  24510  593.324
08108  3395  64.161
18039  3539  58.097
88221  108480  3084.241
08884  5202  105.609
07068  6935  134.714
19454  799  8.468
07834  6812  128.51
27809  23398  615.611
08823  4929  90.183
18064  3952  86.323
18928  2093  29.897
19067  2846  52.526
07921  5448  84.591
19128  2097  24.127
07726  4737  101.908
10011  7577  166.143
08560  3586  64.379
07208  6324  143.607
07470  7470  144.71
08535  4489  94.497
88231  104715  3031.337
19473  1479  21.302
10954  8497  176.701
07876  6809  117.51
08075  4086  63.997
34232  65194  1787.756
08835  5560  85.635
08829  4962  79.785
07430  8037  156.704
07869  7060  131.375
07450  8324  161.984
08558  4251  68.032
30331  48307  1302.524
18051  2915  61.706
07105  6383  148.033
07666  7269  169.82
08534  3597  67.784
10950  9291  196.684
07946  6225  107.986
18055  3355  56.994
07044  7333  140.277
08753  6536  128.471
07070  6915  162.384
88201  105661  2984.458
07028  6860  157.549
18974  2015  27.43
07718  6817  149.678
07738  6306  124.074
66062  66508  1854.617
08859  5804  130.625
08810  4861  100.535
19464  2772  41.729
19465  3004  49.272
08858  5434  88.644
07828  7093  134.947
19106  2945  55.833
08742  6010  127.841
08542  4176  77.936
19135  3060  36.425
10016  7584  165.941
08016  3195  58.852
07731  5178  111.947
07751  5734  114.326
18062  3394  66.959
19444  1630  19.239
03253  25796  655.087
19428  1807  33.008
07422  9211  174.041
07871  7995  154.817
18031  2947  61.304
07001  6050  131.665
07836  6383  112.879
07040  6836  127.324
18964  970  12.862
90293  152514  4397.805
07052  7009  138.129
13905  10252  264.16
08861  5515  125.179
18334  5787  137.001
18322  5098  107.899
07927  6426  115.623
78342  101484  2918.241
12010  16410  398.413
07060  6188  99.833
18337  8712  182.933
18301  5798  130.837
18977  3125  59.451
07003  6735  158.612
18072  4397  98.573
08816  5298  116.319
08901  5061  113.242
18104  2666  57.355
08817  5322  116.305
02482  19465  483.357
08824  4679  88.048
08648  3496  67.201
08619  3597  75.132
07934  5863  98.25
19118  1724  21.028
07206  6227  142.137
08869  4853  78.547
07086  6807  160.87
10075  8347  169.654
15102  19790  498.484
95051  159973  4675.884
07204  6248  141.237
19038  1522  19.981
08730  5819  127.651
08003  3931  73.235
19401  1121  12.527
18932  1141  11.57
27587  24894  650.745
19440  1024  11.718
46032  38904  1058.335
94301  159660  4668.752
14770  18785  451.89
07062  6269  102.346
08062  4160  84.792
08527  5037  105.765
19031  1135  15.996
18360  4750  111.925
15044  19029  504.515
01070  18753  424.358
19136  3280  52.089
15003  20624  525.62
08034  3607  68.617
08520  4201  85.607
08638  3569  63.043
07069  6165  101.042
15084  18941  500.652
11510  9480  198.209
08852  4571  85.118
08054  3768  79.428
08035  3487  68.016
27807  25025  658.79
08863  5266  120.896
18940  2886  40.696
18969  1213  16.893
19025  1845  23.27
07039  7153  128.137
07417  7514  152.22
18067  3661  75.414
